::1 - - [14/Jun/2023:04:20:22 +0000] "GET / HTTP/1.1" 200 9207
::1 - - [14/Jun/2023:04:20:23 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [14/Jun/2023:04:20:23 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
::1 - - [14/Jun/2023:04:20:24 +0000] "GET /favicon.ico HTTP/1.1" 404 150
::1 - - [14/Jun/2023:04:20:26 +0000] "GET /category HTTP/1.1" 200 8257
::1 - - [14/Jun/2023:04:20:27 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [14/Jun/2023:04:20:27 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
::1 - - [14/Jun/2023:04:20:32 +0000] "GET /products/category/1 HTTP/1.1" 200 40908
::1 - - [14/Jun/2023:04:20:32 +0000] "GET /products/category/js/bootstrap.min.js HTTP/1.1" 404 176
::1 - - [14/Jun/2023:04:20:32 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [14/Jun/2023:04:20:32 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
::1 - - [14/Jun/2023:04:20:36 +0000] "GET /products/details/647e903868511bef1acbbc89 HTTP/1.1" 200 5657
::1 - - [14/Jun/2023:04:20:36 +0000] "GET /products/details/js/bootstrap.min.js HTTP/1.1" 404 175
::1 - - [14/Jun/2023:04:20:36 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [14/Jun/2023:04:20:36 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
::1 - - [14/Jun/2023:04:20:39 +0000] "GET /category HTTP/1.1" 304 -
::1 - - [14/Jun/2023:04:20:39 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [14/Jun/2023:04:20:39 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
::1 - - [14/Jun/2023:04:20:41 +0000] "GET /products/category/2 HTTP/1.1" 200 11210
::1 - - [14/Jun/2023:04:20:41 +0000] "GET /products/category/js/bootstrap.min.js HTTP/1.1" 404 176
::1 - - [14/Jun/2023:04:20:41 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [14/Jun/2023:04:20:41 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
::1 - - [14/Jun/2023:04:20:44 +0000] "GET /products/details/647e903868511bef1acbbcb0 HTTP/1.1" 200 5658
::1 - - [14/Jun/2023:04:20:44 +0000] "GET /products/details/js/bootstrap.min.js HTTP/1.1" 404 175
::1 - - [14/Jun/2023:04:20:44 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [14/Jun/2023:04:20:44 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
::1 - - [14/Jun/2023:04:20:47 +0000] "GET /category HTTP/1.1" 304 -
::1 - - [14/Jun/2023:04:20:47 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [14/Jun/2023:04:20:47 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
